Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes), Funding Received (USD) ,Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km),Urban_Rural
Eastern Nigeria,Nigeria,9007,Eastern Facility 23,Hospital,30,20,32,11184,26,"138,703",No,Yes,62.7,16.9,Urban
Southern Zambia,Zambia,1608,Southern Facility 24,Clinic,16,19,21,14262,16,"172,709",No,Yes,72.3,17,Rural
Eastern Nigeria,Nigeria,9240,Eastern Facility 25,Clinic,60,10,23,12365,30,"39,125",No,Yes,79,10.6,Urban
Western Kenya,Kenya,4885,Western Facility 26,Health Center,40,3,28,11665,53,"112,853",Yes,Yes,65.1,7.9,Rural
Eastern Rwanda,Rwanda,8360,Eastern Facility 27,Health Center,86,3,9,11428,42,"142,525",Yes,No,94,4.3,Urban
Eastern Ethiopia,Ethiopia,5047,Eastern Facility 28,Hospital,48,8,10,4606,33,"128,037",Yes,Yes,62.1,9.8,Urban
Dar es Salaam,Tanzania,6692,Dar Facility 29,Health Center,75,9,45,16760,52,"179,291",No,Yes,63.4,6,Urban
Dar es Salaam,Tanzania,9059,Dar Facility 30,Clinic,20,10,38,11823,48,"111,584",No,No,64.5,2.2,Urban
Western Kenya,Kenya,7913,Western Facility 31,Health Center,20,12,8,13733,20,"15,526",No,No,94.5,5.5,Urban
Eastern Ethiopia,Ethiopia,6084,Eastern Facility 32,Health Center,46,1,33,16291,48,"97,018",Yes,Yes,91.1,8.8,Urban
Eastern Rwanda,Rwanda,3415,Eastern Facility 33,Clinic,95,15,10,17088,15,"139,805",Yes,No,65,4.4,Rural
Northern Ghana,Ghana,8014,Northern Facility 34,Hospital,15,12,24,7620,51,"33,585",Yes,No,62.6,1.8,Urban
Eastern Nigeria,Nigeria,4102,Eastern Facility 35,Clinic,14,1,47,1563,5,"40,938",Yes,No,92.7,19.1,Rural
Northern Ghana,Ghana,9113,Northern Facility 36,Health Center,95,14,35,5519,37,"168,159",No,Yes,60.3,8.4,Urban
Central Malawi,Malawi,4399,Central Facility 37,Hospital,59,3,37,16915,31,"95,361",Yes,No,61.2,9.7,Rural
Southern Zambia,Zambia,6330,Southern Facility 38,Hospital,32,11,17,10372,10,"75,640",No,Yes,66.2,2.6,Urban
Central Senegal,Senegal,5048,Central Facility 39,Clinic,61,15,29,16819,38,"82,165",Yes,No,71.7,17.3,Urban
Dar es Salaam,Tanzania,1049,Dar Facility 40,Clinic,87,4,13,16231,46,"120,467",Yes,Yes,89.6,14.5,Rural
Northern Ghana,Ghana,3439,Northern Facility 41,Health Center,9,15,20,14896,54,"168,856",No,Yes,93.2,5,Rural
Northern Ghana,Ghana,5818,Northern Facility 42,Clinic,7,11,37,3970,35,"70,420",Yes,Yes,75.1,18.9,Urban
Northern Ghana,Ghana,587,Northern Facility 43,Hospital,41,14,25,1141,10,"161,888",Yes,Yes,64.6,8.5,Rural
Eastern Nigeria,Nigeria,3319,Eastern Facility 44,Health Center,5,6,30,9444,14,"27,986",Yes,No,86.3,19.4,Rural
Eastern Rwanda,Rwanda,6228,Eastern Facility 45,Hospital,18,1,23,5881,22,"145,360",No,Yes,67.9,13.3,Urban
Western Uganda,Uganda,3936,Western Facility 46,Health Center,20,6,12,5569,59,"117,315",No,Yes,63.2,19.6,Rural
Eastern Nigeria,Nigeria,7229,Eastern Facility 47,Hospital,46,12,12,15347,27,"17,031",Yes,Yes,66.2,18.8,Urban
Central Senegal,Senegal,5646,Central Facility 48,Clinic,84,6,32,11976,18,"132,592",No,No,80.2,11.5,Urban
Western Uganda,Uganda,7666,Western Facility 49,Hospital,91,20,24,4626,35,"111,316",Yes,No,88.6,19.2,Urban
Eastern Ethiopia,Ethiopia,6011,Eastern Facility 50,Clinic,69,3,46,10287,24,"47,658",No,Yes,92.6,16.9,Urban
Western Uganda,Uganda,9624,Western Facility 51,Health Center,39,17,11,11739,20,"92,924",No,Yes,89.4,12,Urban
Southern Zambia,Zambia,8222,Southern Facility 52,Hospital,73,1,27,9753,59,"39,046",No,Yes,84.9,15.5,Urban
Eastern Nigeria,Nigeria,3208,Eastern Facility 53,Health Center,84,18,28,3551,25,"78,756",No,No,87.5,16.3,Rural
Dar es Salaam,Tanzania,7154,Dar Facility 54,Clinic,79,10,19,1081,31,"54,336",No,No,85.5,4.2,Urban
Western Kenya,Kenya,3997,Western Facility 55,Hospital,41,14,42,9787,16,"22,197",No,No,88.8,7.5,Rural
Dar es Salaam,Tanzania,6338,Dar Facility 56,Clinic,12,4,34,3220,8,"124,057",No,No,69.6,14,Urban
Western Uganda,Uganda,6453,Western Facility 57,Clinic,41,5,42,15917,45,"164,676",Yes,No,84.5,3.5,Urban
Eastern Ethiopia,Ethiopia,1160,Eastern Facility 58,Hospital,25,15,7,4180,37,"23,105",No,Yes,67.1,12.6,Rural
Western Uganda,Uganda,2059,Western Facility 59,Hospital,88,14,47,12971,37,"170,959",No,Yes,73.4,7.4,Rural
Western Uganda,Uganda,4536,Western Facility 60,Hospital,89,9,25,7204,40,"108,810",Yes,Yes,69,1.8,Rural
Southern Zambia,Zambia,3501,Southern Facility 61,Health Center,82,10,32,18898,27,"175,789",Yes,Yes,61.9,19.5,Rural
Eastern Nigeria,Nigeria,9687,Eastern Facility 62,Hospital,100,7,44,19207,24,"89,045",Yes,Yes,68.2,10.2,Urban
Dar es Salaam,Tanzania,8706,Dar Facility 63,Clinic,73,15,41,14368,14,"152,127",No,No,78.5,14.2,Urban
Central Senegal,Senegal,3173,Central Facility 64,Clinic,10,8,48,16714,60,"78,063",Yes,Yes,76.9,15.1,Rural
Western Kenya,Kenya,5770,Western Facility 65,Clinic,66,17,25,11392,38,"30,628",No,No,65.2,11,Urban
Eastern Nigeria,Nigeria,5680,Eastern Facility 66,Clinic,100,2,13,13244,41,"44,273",No,No,84,9.9,Urban
Southern Zambia,Zambia,7754,Southern Facility 67,Health Center,70,16,24,10568,46,"175,861",No,Yes,91.6,3.7,Urban
Eastern Rwanda,Rwanda,4220,Eastern Facility 68,Hospital,91,5,13,16790,27,"86,874",Yes,No,71.4,3.3,Rural
Western Kenya,Kenya,6194,Western Facility 69,Hospital,7,18,41,8177,51,"158,683",Yes,No,82.8,2.7,Urban
Eastern Ethiopia,Ethiopia,6219,Eastern Facility 70,Health Center,60,19,18,14711,54,"111,431",Yes,Yes,83.3,1.7,Urban
Eastern Ethiopia,Ethiopia,9078,Eastern Facility 71,Hospital,59,17,33,14547,41,"139,380",No,No,68.3,15.2,Urban
Eastern Rwanda,Rwanda,3434,Eastern Facility 72,Hospital,90,2,6,7812,20,"59,629",No,No,88.1,18.5,Rural
Southern Zambia,Zambia,4986,Southern Facility 73,Health Center,76,9,25,8310,25,"151,376",No,No,81.1,3.6,Rural
Dar es Salaam,Tanzania,2021,Dar Facility 74,Clinic,21,7,49,8983,53,"38,321",Yes,Yes,92.9,4.3,Rural
Eastern Rwanda,Rwanda,4984,Eastern Facility 75,Clinic,81,10,28,18067,51,"47,284",No,No,91.1,1.3,Rural
Dar es Salaam,Tanzania,7075,Dar Facility 76,Hospital,21,20,6,19399,57,"128,089",Yes,Yes,67.6,9.2,Urban
Eastern Ethiopia,Ethiopia,1330,Eastern Facility 77,Clinic,15,20,47,9458,30,"125,080",No,No,60.5,16.5,Rural
Central Senegal,Senegal,3784,Central Facility 78,Clinic,96,5,50,15099,10,"163,146",No,No,88.3,4.4,Rural
Northern Ghana,Ghana,5377,Northern Facility 79,Clinic,7,6,32,17897,19,"52,225",No,Yes,74.9,16.7,Urban
Central Malawi,Malawi,5674,Central Facility 80,Clinic,33,2,15,19823,33,"92,079",No,Yes,89.7,7.5,Urban
Eastern Rwanda,Rwanda,3616,Eastern Facility 81,Health Center,22,17,49,4840,5,"53,599",No,No,67.5,7.6,Rural
Central Senegal,Senegal,8050,Central Facility 82,Hospital,30,6,48,1396,48,"12,888",Yes,No,70.1,11.6,Urban
Dar es Salaam,Tanzania,3975,Dar Facility 83,Clinic,13,10,48,12092,46,"30,248",Yes,No,71,9.4,Rural
Eastern Rwanda,Rwanda,3178,Eastern Facility 84,Clinic,31,14,25,6593,24,"118,872",Yes,No,69.1,11,Rural
Central Senegal,Senegal,5105,Central Facility 85,Clinic,48,13,21,7412,24,"58,363",No,No,80.8,7.4,Urban
Dar es Salaam,Tanzania,8798,Dar Facility 86,Clinic,28,7,5,12650,52,"99,432",No,No,83.2,15,Urban
Central Senegal,Senegal,3084,Central Facility 87,Clinic,56,7,11,6777,13,"182,091",Yes,No,91,6.6,Rural
Eastern Ethiopia,Ethiopia,8237,Eastern Facility 88,Hospital,47,9,46,9876,32,"75,605",Yes,No,65.2,10.7,Urban
Eastern Rwanda,Rwanda,4042,Eastern Facility 89,Health Center,16,16,7,15929,52,"41,539",No,Yes,88.7,8.5,Rural
Central Malawi,Malawi,7345,Central Facility 90,Health Center,59,6,8,1863,6,"102,644",Yes,No,64.7,8.7,Urban
Southern Zambia,Zambia,5628,Southern Facility 91,Hospital,18,6,19,7262,25,"192,725",Yes,No,86.3,16.3,Urban
Central Senegal,Senegal,4615,Central Facility 92,Clinic,42,8,12,11741,27,"152,904",No,Yes,68.2,6.8,Rural
Western Kenya,Kenya,1363,Western Facility 93,Health Center,46,5,9,13759,51,"91,753",Yes,Yes,64.2,17.2,Rural
Eastern Nigeria,Nigeria,3252,Eastern Facility 94,Health Center,44,10,42,14908,13,"27,348",Yes,Yes,88.1,13.9,Rural
Northern Ghana,Ghana,7013,Northern Facility 95,Clinic,22,1,29,18330,48,"149,342",Yes,No,82.7,3.7,Urban
Eastern Ethiopia,Ethiopia,870,Eastern Facility 96,Clinic,14,14,7,1868,40,"29,975",No,Yes,81.5,1.5,Rural
Eastern Ethiopia,Ethiopia,9641,Eastern Facility 97,Clinic,75,10,25,17472,33,"40,718",Yes,Yes,78.3,6.7,Urban
Central Senegal,Senegal,2160,Central Facility 98,Health Center,71,7,20,5732,45,"149,555",No,Yes,86.8,12.5,Rural
Eastern Rwanda,Rwanda,6209,Eastern Facility 99,Clinic,60,15,18,12956,25,"193,287",Yes,No,62.2,14.3,Urban
Northern Ghana,Ghana,3112,Northern Facility 100,Clinic,24,6,40,14454,52,"33,250",No,No,69.2,14.4,Rural
Western Kenya,Kenya,6862,Western Facility 101,Health Center,5,19,13,4276,24,"44,476",No,No,77.9,9.4,Urban
Southern Zambia,Zambia,590,Southern Facility 102,Clinic,13,15,35,19143,28,"33,167",Yes,No,76.7,18.9,Rural
Northern Ghana,Ghana,9262,Northern Facility 103,Hospital,38,6,34,18402,11,"163,418",No,No,65.9,14.7,Urban
Northern Ghana,Ghana,5042,Northern Facility 104,Clinic,97,18,45,3771,29,"95,297",Yes,Yes,80.6,13.4,Urban
Northern Ghana,Ghana,8498,Northern Facility 105,Health Center,36,20,22,5261,6,"68,987",Yes,No,77.1,2.7,Urban
Central Senegal,Senegal,9168,Central Facility 106,Clinic,69,11,5,15541,31,"125,898",No,No,79.3,3.9,Urban
Eastern Nigeria,Nigeria,7077,Eastern Facility 107,Clinic,25,10,41,19287,19,"143,247",Yes,No,94.8,11,Urban
Central Malawi,Malawi,1498,Central Facility 108,Clinic,29,15,37,7466,21,"197,092",Yes,No,68.8,5,Rural
Eastern Nigeria,Nigeria,2463,Eastern Facility 109,Hospital,33,20,48,3641,58,"101,244",Yes,Yes,80.7,18.1,Rural
Central Malawi,Malawi,2333,Central Facility 110,Clinic,14,11,44,5042,7,"51,016",Yes,No,69.7,19.3,Rural
Central Malawi,Malawi,8495,Central Facility 111,Health Center,22,20,21,8236,42,"145,113",Yes,No,61,10.9,Urban
Central Malawi,Malawi,9923,Central Facility 112,Health Center,19,20,40,17988,50,"118,805",No,No,82.4,18.9,Urban
Central Senegal,Senegal,4058,Central Facility 113,Clinic,10,5,20,13024,13,"157,394",No,Yes,89.3,19.4,Rural
Southern Zambia,Zambia,4768,Southern Facility 114,Hospital,34,14,8,12999,16,"19,010",Yes,No,79.6,12.9,Rural
Central Senegal,Senegal,9373,Central Facility 115,Hospital,83,7,13,4067,45,"80,446",No,No,62.9,9.3,Urban
Northern Ghana,Ghana,2544,Northern Facility 116,Health Center,92,20,32,5051,33,"31,176",Yes,No,89,2.5,Rural
Northern Ghana,Ghana,4582,Northern Facility 117,Clinic,49,16,49,16263,37,"11,333",Yes,No,60.5,12.6,Rural
Southern Zambia,Zambia,674,Southern Facility 118,Health Center,83,8,19,1085,5,"141,922",Yes,No,60.7,19.4,Rural
Western Uganda,Uganda,6179,Western Facility 119,Health Center,60,4,47,18507,49,"117,849",No,No,90.9,2.6,Urban
Western Uganda,Uganda,3381,Western Facility 120,Health Center,62,3,45,8526,35,"65,094",Yes,No,70.2,5.3,Rural
Eastern Nigeria,Nigeria,4221,Eastern Facility 121,Clinic,47,18,43,7055,5,"154,358",Yes,No,85.8,5.7,Rural
Southern Zambia,Zambia,4451,Southern Facility 122,Hospital,35,2,37,7261,58,"183,136",Yes,No,68.6,1.3,Rural
Eastern Rwanda,Rwanda,8524,Eastern Facility 123,Health Center,43,3,27,11510,19,"15,152",No,No,69,6.6,Urban
Dar es Salaam,Tanzania,585,Dar Facility 124,Hospital,7,15,23,11244,8,"114,655",No,No,64.4,15.3,Rural
Dar es Salaam,Tanzania,4289,Dar Facility 125,Hospital,37,5,13,1877,6,"158,896",No,No,66.5,10.6,Rural
Central Senegal,Senegal,1795,Central Facility 126,Clinic,30,11,31,5257,53,"122,610",No,Yes,86.7,7.8,Rural
Eastern Rwanda,Rwanda,1904,Eastern Facility 127,Hospital,32,16,9,10604,10,"141,275",No,Yes,92.5,16.9,Rural
Eastern Rwanda,Rwanda,3599,Eastern Facility 128,Health Center,57,4,13,1167,56,"119,628",Yes,No,88.6,6.3,Rural
Southern Zambia,Zambia,9982,Southern Facility 129,Clinic,69,17,48,8343,53,"44,429",No,No,91.9,10.9,Urban
Western Uganda,Uganda,7069,Western Facility 130,Health Center,55,19,22,1276,40,"176,063",Yes,Yes,60.4,14,Urban
Northern Ghana,Ghana,9686,Northern Facility 131,Hospital,19,13,14,5226,22,"182,182",Yes,Yes,83,1.3,Urban
Central Malawi,Malawi,1185,Central Facility 132,Health Center,99,12,36,12551,39,"192,871",No,Yes,67.2,18.3,Rural
Northern Ghana,Ghana,9600,Northern Facility 133,Clinic,46,15,38,5805,53,"128,451",No,Yes,76.2,8.8,Urban
Central Senegal,Senegal,2963,Central Facility 134,Health Center,16,9,48,16742,13,"146,822",Yes,No,72.9,2.4,Rural
Western Uganda,Uganda,1456,Western Facility 135,Health Center,12,13,5,18671,53,"56,180",Yes,No,89.7,1.3,Rural
Eastern Nigeria,Nigeria,7130,Eastern Facility 136,Hospital,19,17,46,13528,41,"176,207",No,No,84.6,18.6,Urban
Eastern Nigeria,Nigeria,5777,Eastern Facility 137,Hospital,45,14,48,12843,17,"59,301",No,No,90.2,13.2,Urban
Central Senegal,Senegal,4613,Central Facility 138,Hospital,9,1,38,17597,6,"57,934",Yes,Yes,77.2,7.9,Rural
Eastern Rwanda,Rwanda,6885,Eastern Facility 139,Health Center,63,20,5,18207,39,"15,741",No,Yes,77.5,1.7,Urban
Southern Zambia,Zambia,3958,Southern Facility 140,Health Center,74,11,26,4853,56,"42,828",No,No,74.4,7.5,Rural
Central Senegal,Senegal,4813,Central Facility 141,Hospital,48,5,28,17061,16,"131,966",Yes,No,94,16.9,Rural
Northern Ghana,Ghana,7989,Northern Facility 142,Clinic,66,2,37,14275,46,"170,486",Yes,Yes,85.8,6.9,Urban
Northern Ghana,Ghana,5404,Northern Facility 143,Hospital,9,4,15,11220,55,"126,951",No,No,89.3,19.9,Urban
Eastern Ethiopia,Ethiopia,5624,Eastern Facility 144,Health Center,72,6,24,13763,43,"157,682",No,Yes,90.1,2.3,Urban
Southern Zambia,Zambia,8173,Southern Facility 145,Hospital,8,2,48,16998,32,"67,572",Yes,Yes,89.9,4.3,Urban
Western Uganda,Uganda,7086,Western Facility 146,Hospital,66,2,6,12365,16,"61,796",Yes,No,64.8,8.1,Urban
Central Senegal,Senegal,3488,Central Facility 147,Hospital,89,16,42,5736,36,"152,974",No,No,80.7,14,Rural
Dar es Salaam,Tanzania,5770,Dar Facility 148,Clinic,22,7,25,13580,23,"136,941",No,Yes,70.5,8,Urban
Central Malawi,Malawi,2538,Central Facility 149,Health Center,12,16,16,12490,16,"112,950",No,No,84.8,11.2,Rural
Western Uganda,Uganda,8643,Western Facility 150,Health Center,34,19,38,16979,56,"77,688",Yes,Yes,85.6,12.7,Urban
Eastern Rwanda,Rwanda,1935,Eastern Facility 151,Hospital,50,13,50,3370,27,"35,391",No,Yes,82.9,10.9,Rural
Central Senegal,Senegal,6941,Central Facility 152,Hospital,100,8,38,10157,12,"167,014",Yes,No,80.6,4.3,Urban
Northern Ghana,Ghana,1618,Northern Facility 153,Health Center,41,5,6,8216,16,"75,459",No,No,73.2,14.2,Rural
Eastern Rwanda,Rwanda,2657,Eastern Facility 154,Health Center,13,16,12,16277,27,"156,991",Yes,Yes,61.3,14.8,Rural
Central Malawi,Malawi,2070,Central Facility 155,Clinic,30,11,43,6196,60,"131,542",Yes,Yes,87.5,6,Rural
Western Kenya,Kenya,7417,Western Facility 156,Health Center,41,13,11,19157,19,"176,816",No,No,84.2,9.1,Urban
Eastern Ethiopia,Ethiopia,1885,Eastern Facility 157,Hospital,26,12,11,14307,15,"123,414",Yes,Yes,87.4,6.1,Rural
Eastern Rwanda,Rwanda,8336,Eastern Facility 158,Health Center,79,9,41,11929,32,"126,027",No,No,73.1,11.5,Urban
Northern Ghana,Ghana,5372,Northern Facility 159,Clinic,44,12,7,9673,35,"41,543",No,Yes,91.3,14.4,Urban
Central Malawi,Malawi,2906,Central Facility 160,Clinic,28,6,13,15847,6,"165,364",Yes,No,82.5,7.4,Rural
Eastern Rwanda,Rwanda,5449,Eastern Facility 161,Hospital,94,3,28,5752,44,"56,449",Yes,Yes,71.9,4.6,Urban
Western Uganda,Uganda,6347,Western Facility 162,Clinic,22,14,47,1326,14,"115,485",Yes,No,75.5,6.1,Urban
Dar es Salaam,Tanzania,4411,Dar Facility 163,Hospital,23,18,6,6115,36,"147,669",Yes,Yes,89.5,12.7,Rural
Southern Zambia,Zambia,5770,Southern Facility 164,Clinic,31,6,36,14202,40,"53,800",Yes,Yes,60.1,16.4,Urban
Eastern Nigeria,Nigeria,3822,Eastern Facility 165,Health Center,82,11,24,11673,32,"126,385",No,Yes,83.3,19.6,Rural
Northern Ghana,Ghana,6075,Northern Facility 166,Clinic,26,12,30,14073,5,"160,280",No,Yes,83.1,5.2,Urban
Western Uganda,Uganda,1153,Western Facility 167,Health Center,68,14,27,12558,47,"121,487",Yes,No,86.3,15.2,Rural
Eastern Rwanda,Rwanda,6213,Eastern Facility 168,Hospital,89,18,17,5283,37,"40,412",No,No,87.5,9,Urban
Eastern Ethiopia,Ethiopia,4950,Eastern Facility 169,Hospital,73,4,10,16669,19,"122,204",Yes,No,83.6,10,Rural
Western Kenya,Kenya,1410,Western Facility 170,Health Center,67,7,18,11717,47,"111,230",No,Yes,87.3,2.8,Rural
Eastern Rwanda,Rwanda,2820,Eastern Facility 171,Health Center,97,10,26,1572,54,"62,901",Yes,Yes,69.5,4.9,Rural
Eastern Nigeria,Nigeria,9342,Eastern Facility 172,Clinic,83,18,18,12588,12,"133,931",No,No,74.9,2.7,Urban
Western Uganda,Uganda,6011,Western Facility 173,Clinic,64,1,35,3800,54,"107,744",No,Yes,94.2,12.3,Urban
Eastern Ethiopia,Ethiopia,5012,Eastern Facility 174,Clinic,16,20,34,4571,20,"13,215",No,No,70.1,13.1,Urban
Eastern Rwanda,Rwanda,2242,Eastern Facility 175,Health Center,54,11,19,7711,29,"21,356",No,No,89.7,18.5,Rural
Western Kenya,Kenya,9670,Western Facility 176,Hospital,37,6,28,2668,30,"131,538",Yes,No,61.1,1.1,Urban
Eastern Nigeria,Nigeria,2455,Eastern Facility 177,Health Center,91,10,8,8095,40,"59,625",Yes,No,71.6,2.4,Rural
Eastern Ethiopia,Ethiopia,6785,Eastern Facility 178,Health Center,55,8,48,5153,28,"111,374",No,No,92.7,18.3,Urban
Central Malawi,Malawi,6468,Central Facility 179,Clinic,68,18,37,13394,18,"39,656",Yes,No,69,9.7,Urban
Eastern Nigeria,Nigeria,4065,Eastern Facility 180,Health Center,5,13,17,6526,24,"197,526",No,Yes,94.5,8.2,Rural
Eastern Ethiopia,Ethiopia,7828,Eastern Facility 181,Health Center,33,19,10,10995,9,"125,595",Yes,Yes,86.9,1.2,Urban
Eastern Rwanda,Rwanda,8933,Eastern Facility 182,Hospital,88,9,30,10137,29,"142,151",Yes,Yes,75.9,15.5,Urban
Central Malawi,Malawi,8783,Central Facility 183,Health Center,22,11,19,12913,48,"61,663",Yes,No,63.4,14.2,Urban
Eastern Rwanda,Rwanda,5423,Eastern Facility 184,Clinic,56,8,18,1895,60,"169,917",Yes,Yes,84.6,19.9,Urban
Central Malawi,Malawi,8368,Central Facility 185,Hospital,38,16,50,11456,46,"51,465",Yes,Yes,93.8,1.6,Urban
Central Malawi,Malawi,8425,Central Facility 186,Health Center,38,8,16,6554,48,"20,260",No,Yes,89.5,17.8,Urban
Dar es Salaam,Tanzania,2088,Dar Facility 187,Health Center,92,11,39,3713,29,"17,118",No,Yes,61.9,19.2,Rural
Western Kenya,Kenya,3255,Western Facility 188,Clinic,7,3,9,8871,42,"181,457",Yes,Yes,70.3,5,Rural
Eastern Rwanda,Rwanda,2447,Eastern Facility 189,Clinic,85,11,38,10838,29,"113,649",Yes,No,81.1,7.4,Rural
Northern Ghana,Ghana,6231,Northern Facility 190,Hospital,58,16,46,7393,23,"187,173",No,No,66.9,10.1,Urban
Southern Zambia,Zambia,8218,Southern Facility 191,Health Center,17,19,40,3590,52,"185,904",Yes,Yes,68.4,8.7,Urban
Southern Zambia,Zambia,7501,Southern Facility 192,Clinic,71,8,48,8128,20,"137,391",Yes,Yes,71.9,12.5,Urban
Central Malawi,Malawi,9342,Central Facility 193,Clinic,12,15,25,4800,45,"178,902",Yes,Yes,86.6,11.3,Urban
Southern Zambia,Zambia,8360,Southern Facility 194,Clinic,85,7,35,8989,16,"125,797",Yes,Yes,60.5,19.8,Urban
Eastern Nigeria,Nigeria,2372,Eastern Facility 195,Health Center,94,14,19,17081,47,"184,474",Yes,Yes,63.5,11.4,Rural
Central Senegal,Senegal,6248,Central Facility 196,Clinic,51,14,46,11149,11,"57,570",Yes,Yes,66.3,14.8,Urban
Northern Ghana,Ghana,626,Northern Facility 197,Clinic,16,12,27,13483,17,"31,368",No,No,95,14.3,Rural
Eastern Nigeria,Nigeria,1819,Eastern Facility 198,Health Center,86,10,17,8092,60,"168,431",Yes,Yes,63.5,15.7,Rural
Eastern Nigeria,Nigeria,2009,Eastern Facility 199,Hospital,28,19,19,15630,33,"66,639",No,Yes,83.3,11.7,Rural
Eastern Ethiopia,Ethiopia,4011,Eastern Facility 200,Clinic,62,2,50,18176,51,"96,953",Yes,Yes,60.8,14.9,Rural
Central Senegal,Senegal,8980,Central Facility 201,Clinic,13,9,19,17097,60,"114,718",No,No,75.3,3.7,Urban
Eastern Nigeria,Nigeria,978,Eastern Facility 202,Hospital,39,8,24,15630,50,"179,338",No,Yes,86,2.6,Rural
Northern Ghana,Ghana,9756,Northern Facility 203,Health Center,68,9,32,4680,52,"79,022",No,No,88.3,13.9,Urban
Dar es Salaam,Tanzania,9785,Dar Facility 204,Health Center,22,8,8,10591,36,"86,887",No,Yes,90.2,18.3,Urban
Eastern Rwanda,Rwanda,9404,Eastern Facility 205,Clinic,90,11,38,19095,53,"182,704",No,No,88,9.6,Urban
Eastern Rwanda,Rwanda,744,Eastern Facility 206,Clinic,36,16,24,14295,51,"152,471",No,Yes,73,9.5,Rural
Southern Zambia,Zambia,4274,Southern Facility 207,Health Center,99,2,28,14313,9,"140,406",No,No,84.8,1.9,Rural
Western Uganda,Uganda,5236,Western Facility 208,Clinic,68,7,18,13092,54,"76,831",Yes,Yes,84.3,3.2,Urban
Southern Zambia,Zambia,1862,Southern Facility 209,Hospital,12,5,10,15436,48,"30,881",No,No,91.9,17.4,Rural
Eastern Rwanda,Rwanda,3257,Eastern Facility 210,Clinic,95,17,7,4276,33,"21,717",No,No,82.9,7.1,Rural
Western Kenya,Kenya,4714,Western Facility 211,Health Center,85,5,14,13268,24,"179,679",No,No,73.8,4.7,Rural
Southern Zambia,Zambia,1981,Southern Facility 212,Clinic,17,19,31,19096,37,"64,100",No,Yes,91.3,13.2,Rural
Central Malawi,Malawi,9633,Central Facility 213,Hospital,95,4,39,1457,53,"138,234",Yes,No,82.8,15.7,Urban
Eastern Rwanda,Rwanda,6807,Eastern Facility 214,Hospital,51,15,9,10860,49,"76,188",No,Yes,71.9,9.5,Urban
